"Code
AGB","Code
CIQUAL",Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,code saison (0 : hors saison ; 1 : de saison ; 2 : mix de consommation FR),code avion (1 : par avion),Livraison,Matériau d'emballage,Préparation,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),mPt/kg de produit,kg CO2 eq/kg de produit
11084,11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2318794000000002,6.7664073
11023,11023,aides culinaires et ingrédients divers,herbes,"Ail séché, poudre","Garlic, powder, dried",2,0,Ambiant (long),Verre,Pas de préparation,4.11,0.10314961,0.74940933
11000,11000,aides culinaires et ingrédients divers,herbes,"Ail, cru","Garlic, fresh",2,0,Ambiant (long),Pas d'emballage,Pas de préparation,3.54,0.06381374199999999,0.35612244
11093,11093,aides culinaires et ingrédients divers,herbes,"Aneth, frais","Dill, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.13208130999999998,0.81494394
20995,20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2318794000000002,6.7664073
20998,20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2052509,6.5809293
37000,37000,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,cream sauce for pizza base,2,0,Ambiant (long),Carton,Pas de préparation,2.89,0.22256399999999998,1.9801824
37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,2,0,Ambiant (long),Carton,Pas de préparation,3.19,0.14662923,0.72128054
11033,11033,aides culinaires et ingrédients divers,herbes,"Basilic, frais","Basil, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.13208130999999998,0.81494394
11032,11032,aides culinaires et ingrédients divers,herbes,"Basilic, séché","Basil, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.39831561,1.5527851
11507,11507,aides culinaires et ingrédients divers,ingrédients divers,Bicarbonate de soude,Sodium bicarbonate,2,0,Ambiant (long),Carton,Pas de préparation,2.97,0.22206534,1.1291706
11025,11025,aides culinaires et ingrédients divers,épices,"Cannelle, poudre","Cinnamon, powder",2,0,Ambiant (long),Verre,Pas de préparation,3.37,1.4235719999999998,9.1927855
11075,11075,aides culinaires et ingrédients divers,épices,"Cardamome, poudre","Cardamom, powder",2,0,Ambiant (long),Verre,Pas de préparation,4.31,1.4235719999999998,9.1927855
11064,11064,aides culinaires et ingrédients divers,épices,"Carvi, graine","Caraway, seed",2,0,Ambiant (long),Verre,Pas de préparation,3.95,1.4235719999999998,9.1927855
11002,11002,aides culinaires et ingrédients divers,herbes,"Cerfeuil, frais","Chervil, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.95,0.13208130999999998,0.81494394
11003,11003,aides culinaires et ingrédients divers,herbes,"Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.089974967,0.67498351
11052,11052,aides culinaires et ingrédients divers,épices,Clou de girofle,Cloves,2,0,Ambiant (long),Verre,Pas de préparation,3.56,1.4222154,9.1842351
11094,11094,aides culinaires et ingrédients divers,herbes,"Coriandre, fraiche","Coriander, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.10961682,0.97318796
11026,11026,aides culinaires et ingrédients divers,épices,"Coriandre, graine","Coriander, seed",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.13067124,1.1042489
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",2,0,Ambiant (long),Aluminium,Pas de préparation,3.55,2.0790148999999998,9.4251616
39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",2,0,Glacé,PVC,Pas de préparation,1.78,0.2187842,1.7508275
11042,11042,aides culinaires et ingrédients divers,épices,"Cumin, graine","Cumin, seed",2,0,Ambiant (long),Verre,Pas de préparation,3.75,1.4235719999999998,9.1927855
11089,11089,aides culinaires et ingrédients divers,épices,"Curcuma, poudre","Turmeric, powder",2,0,Ambiant (long),Verre,Pas de préparation,4.31,1.4235719999999998,9.1927855
11005,11005,aides culinaires et ingrédients divers,épices,"Curry, poudre","Curry, powder",2,0,Ambiant (long),Verre,Pas de préparation,4.11,1.4235719999999998,9.1927855
20988,20988,aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2052509,6.5809293
11092,11092,aides culinaires et ingrédients divers,herbes,"Estragon, frais","Tarragon, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.11502191,0.69116026
11066,11066,aides culinaires et ingrédients divers,épices,"Fenouil, graine","Fennel, seed",2,0,Ambiant (long),Verre,Pas de préparation,4.14,0.13067124,1.1042489
11077,11077,aides culinaires et ingrédients divers,épices,"Fenugrec, graine","Fenugreek, seed",2,0,Ambiant (long),Verre,Pas de préparation,3.75,1.4235719999999998,9.1927855
11082,11082,aides culinaires et ingrédients divers,sels,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",2,0,Ambiant (long),PVC,Pas de préparation,2.02,0.079425471,0.60557289
20994,20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2052509,6.5809293
11007,11007,aides culinaires et ingrédients divers,ingrédients divers,"Gélatine, sèche","Gelatine, dried",2,0,Ambiant (long),Carton,Pas de préparation,2.83,0.25011989,1.7823478
11006,11006,aides culinaires et ingrédients divers,épices,"Gingembre, poudre","Ginger, powder",2,0,Ambiant (long),Verre,Pas de préparation,4.31,0.13161189,0.98268776
11074,11074,aides culinaires et ingrédients divers,épices,"Gingembre, racine crue","Ginger, raw",2,0,Ambiant (long),Pas d'emballage,Pas de préparation,3.73,0.076883073,0.45388006
20993,20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2318794000000002,6.7664073
25620,25620,aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé","Guacamole, prepacked",2,0,Glacé,PVC,Pas de préparation,2.51,0.32547927,1.4681321
20992,20992,aides culinaires et ingrédients divers,algues,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée","Sea thong (Himanthalia elongata), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2052509,6.5809293
11112,11112,aides culinaires et ingrédients divers,sauces,Harissa (sauce condimentaire),"Harissa (hot spicy sauce), prepacked",2,0,Glacé,PVC,Pas de préparation,2.98,0.29047289,1.4242159
11060,11060,aides culinaires et ingrédients divers,herbes,"Herbes de Provence, séchées","Provence herbs, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.13,0.40162861,1.5618892
25621,25621,aides culinaires et ingrédients divers,sauces,Houmous,Hummus,2,0,Glacé,PVC,Pas de préparation,2.95,0.17550421,0.95388581
11008,11008,aides culinaires et ingrédients divers,sauces,Ketchup,Ketchup,2,0,Glacé,PVC,Pas de préparation,2.76,0.14679140000000002,0.94591702
20991,20991,aides culinaires et ingrédients divers,algues,"Kombu breton (Laminaria digitata), séchée ou déshydratée","Tangle (Laminaria digitata), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.6,1.2052509,6.5809293
20990,20990,aides culinaires et ingrédients divers,algues,"Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée","Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2318794000000002,6.7664073
20986,20986,aides culinaires et ingrédients divers,algues,"Kombu royal (Saccharina latissima), séchée ou déshydratée","Sea belt (Saccharina latissima), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2318794000000002,6.7664073
20985,20985,aides culinaires et ingrédients divers,algues,"Laitue de mer (Ulva sp.), séchée ou déshydratée","Sea lettuce (ulva sp.), dried or dehydrated)",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2052509,6.5809293
11053,11053,aides culinaires et ingrédients divers,épices,"Laurier, feuille","Bay, leaves",2,0,Ambiant (long),Verre,Pas de préparation,4.31,0.13558478999999998,0.84785847
42200,42200,aides culinaires et ingrédients divers,ingrédients divers,Lécithine de soja,Soy lecithin,2,0,Ambiant (long),Carton,Pas de préparation,3.47,0.49725444,6.0498813
11009,11009,aides culinaires et ingrédients divers,ingrédients divers,Levure alimentaire,Nutritional yeast,2,0,Ambiant (long),Papier,Pas de préparation,2.46,0.41975579,5.6090843
11046,11046,aides culinaires et ingrédients divers,ingrédients divers,Levure chimique ou Poudre à lever,Baking powder or raising agent,2,0,Ambiant (long),Papier,Pas de préparation,2.85,0.41975579,5.6090843
11010,11010,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, compressée","Baker's yeast, compressed",2,0,Ambiant (long),Carton,Pas de préparation,2.46,0.42947646,5.7132117
11045,11045,aides culinaires et ingrédients divers,ingrédients divers,"Levure de boulanger, déshydratée","Baker's yeast, dehydrated",2,0,Ambiant (long),Papier,Pas de préparation,2.46,0.41975579,5.6090843
20996,20996,aides culinaires et ingrédients divers,algues,"Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté","Carragheen mosses (Chondrus crispus), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2052509,6.5809293
11034,11034,aides culinaires et ingrédients divers,herbes,"Marjolaine, séchée","Marjoram, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.39831561,1.5527851
11054,11054,aides culinaires et ingrédients divers,sauces,Mayonnaise (70% MG min.),Mayonnaise (70% fat and more),2,0,Glacé,PVC,Pas de préparation,2.49,0.49537835,3.0108747
11079,11079,aides culinaires et ingrédients divers,sauces,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,"Mayonnaise, reduced fat or light mayonnaise",2,0,Glacé,PVC,Pas de préparation,2.92,0.49537835,3.0108747
51500,51500,aides culinaires et ingrédients divers,herbes,"Meloukhia, feuilles de corète séchées, en poudre",Molokhia powder (dried jute leaves),2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.25932295,1.4989962
11027,11027,aides culinaires et ingrédients divers,herbes,"Menthe, fraîche","Mint, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.18,0.11502191,0.69116026
20916,20916,aides culinaires et ingrédients divers,ingrédients divers,Miso,Miso,2,0,Ambiant (long),Carton,Pas de préparation,2.52,0.26366926,1.047927
11013,11013,aides culinaires et ingrédients divers,condiments,Moutarde,Mustard,2,0,Ambiant (long),Verre,Pas de préparation,2.47,0.31455923,1.8269307
11021,11021,aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,"Mustard, with grains",2,0,Ambiant (long),Verre,Pas de préparation,2.21,0.30834925,2.1417347
